idx,prompt,reference,lstm_generated,lora_generated
1,"[np.int64(832), np.int64(183), np.int64(7), np.int64(30), np.int64(230), np.int64(3631), np.int64(2731), np.int64(6), np.int64(48), np.int64(8247), np.int64(6), np.int64(715), np.int64(108), np.int64(1154), np.int64(51), np.int64(82), np.int64(5776), np.int64(51),","np.int64(59), np.int64(387), np.int64(2519), np.int64(352), np.int64(632), np.int64(65)]",,"[np.int64(832), np.int64(183), np.int64(7), np.int64(30), np.int64(230), np.int64(3631), np.int64(2731), np.int64(6), np.int64(48), np.int64(8247), np.int64(6), np.int64(715), np.int64(108), np.int64(1154), np.int64(51), np.int64(82), np.int64(5776), np.int64(51), np.int64(2), np.int64(6), np.int64(2), np.int64(5), np.int64(5), np.int64(5), np."
2,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(44), np.int64(153),","np.int64(232), np.int64(30), np.int64(261), np.int64(59), np.int64(36), np.int64(1259)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(44), np.int64(153), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
3,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(283), np.int64(4), np.int64(30),","np.int64(134), np.int64(5), np.int64(41), np.int64(86), np.int64(380), np.int64(8)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(283), np.int64(4), np.int64(30), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(2),"
4,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(2), np.int64(1949), np.int64(874), np.int64(204), np.int64(55), np.int64(285)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np."
5,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(2), np.int64(61), np.int64(5), np.int64(40), np.int64(138)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
6,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(69)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
7,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30),","np.int64(134), np.int64(5), np.int64(41), np.int64(328), np.int64(91), np.int64(407)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1),"
8,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1212),","np.int64(138), np.int64(355), np.int64(834), np.int64(460), np.int64(8), np.int64(7442)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1212), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np."
9,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(826), np.int64(1106), np.int64(667), np.int64(379), np.int64(8), np.int64(294), np.int64(249), np.int64(48),","np.int64(323), np.int64(8), np.int64(5), np.int64(40), np.int64(295), np.int64(722)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(826), np.int64(1106), np.int64(667), np.int64(379), np.int64(8), np.int64(294), np.int64(249), np.int64(48), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
10,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(266)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
11,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(621), np.int64(130), np.int64(800), np.int64(114), np.int64(30), np.int64(775), np.int64(1177), np.int64(13), np.int64(2526),","np.int64(91), np.int64(11), np.int64(600), np.int64(4074), np.int64(6347), np.int64(135)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(621), np.int64(130), np.int64(800), np.int64(114), np.int64(30), np.int64(775), np.int64(1177), np.int64(13), np.int64(2526), np.int64(15), np.int64(14), np.int64(10), np.int64(13), np.int64(1), np.int64(1), np."
12,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),","np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(130)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0),"
13,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2),","np.int64(71), np.int64(148), np.int64(6510), np.int64(293), np.int64(55), np.int64(753)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np"
14,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(107), np.int64(999), np.int64(72), np.int64(1895),","np.int64(4), np.int64(208), np.int64(8), np.int64(325), np.int64(30), np.int64(351)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(30), np.int64(107), np.int64(999), np.int64(72), np.int64(1895), np.int64(2), np.int64(2212), np.int64(0), np.int64(1), np.int64(0), np.int64(1"
15,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(55), np.int64(74), np.int64(202), np.int64(204), np.int64(51), np.int64(4894), np.int64(87), np.int64(646), np.int64(304), np.int64(1100), np.int64(94), np.int64(4273),","np.int64(60), np.int64(1326), np.int64(260), np.int64(230), np.int64(82), np.int64(4218)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(55), np.int64(74), np.int64(202), np.int64(204), np.int64(51), np.int64(4894), np.int64(87), np.int64(646), np.int64(304), np.int64(1100), np.int64(94), np.int64(4273), np.int64(1736), np.int64(1536), np.int64(5274), np.int64(1476), np.int64(2125), np.int64"
16,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2),","np.int64(244), np.int64(51), np.int64(806), np.int64(73), np.int64(587), np.int64(4285)]",,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(4), np.int64(3), np"
